id,name,priority,action,pattern,isEnabled,subscriptionId,ruleType
"3333162.*.*.*.*.*.*$","Block numbers matching 3333162.*.*.*.*.*.*",3,"block","3333162.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333163.*.*.*.*.*.*$","Block numbers matching 3333163.*.*.*.*.*.*",3,"block","3333163.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333270.*.*.*.*.*.*$","Block numbers matching 3333270.*.*.*.*.*.*",3,"block","3333270.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333271.*.*.*.*.*.*$","Block numbers matching 3333271.*.*.*.*.*.*",3,"block","3333271.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333377.*.*.*.*.*.*$","Block numbers matching 3333377.*.*.*.*.*.*",3,"block","3333377.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333378.*.*.*.*.*.*$","Block numbers matching 3333378.*.*.*.*.*.*",3,"block","3333378.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333424.*.*.*.*.*.*$","Block numbers matching 3333424.*.*.*.*.*.*",3,"block","3333424.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333425.*.*.*.*.*.*$","Block numbers matching 3333425.*.*.*.*.*.*",3,"block","3333425.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333568.*.*.*.*.*.*$","Block numbers matching 3333568.*.*.*.*.*.*",3,"block","3333568.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333569.*.*.*.*.*.*$","Block numbers matching 3333569.*.*.*.*.*.*",3,"block","3333569.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333948.*.*.*.*.*.*$","Block numbers matching 3333948.*.*.*.*.*.*",3,"block","3333948.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"3333949.*.*.*.*.*.*$","Block numbers matching 3333949.*.*.*.*.*.*",3,"block","3333949.*.*.*.*.*.*$",1,"begone-fr-regex","regex"
"33337588.*.*.*.*.*$","Block numbers matching 33337588.*.*.*.*.*",3,"block","33337588.*.*.*.*.*$",1,"begone-fr-regex","regex"
"33337589.*.*.*.*.*$","Block numbers matching 33337589.*.*.*.*.*",3,"block","33337589.*.*.*.*.*$",1,"begone-fr-regex","regex"
"333364466.*.*.*.*$","Block numbers matching 333364466.*.*.*.*",3,"block","333364466.*.*.*.*$",1,"begone-fr-regex","regex"
"333364467.*.*.*.*$","Block numbers matching 333364467.*.*.*.*",3,"block","333364467.*.*.*.*$",1,"begone-fr-regex","regex"
"333364468.*.*.*.*$","Block numbers matching 333364468.*.*.*.*",3,"block","333364468.*.*.*.*$",1,"begone-fr-regex","regex"
"333364469.*.*.*.*$","Block numbers matching 333364469.*.*.*.*",3,"block","333364469.*.*.*.*$",1,"begone-fr-regex","regex"
